target,k,weights,cv_r2_mean,cv_r2_std,cv_r2_scores
nearest5_median_damage_log1p,10,distance,0.0554813691114459,0.03587867780164495,0.112018;0.051634;0.018034;0.077073;0.018648
nearest5_median_damage_log1p,9,distance,0.049494848813156314,0.035569880634857096,0.111422;0.037998;0.014458;0.064302;0.019294
nearest5_median_damage_log1p,8,distance,0.045281032106121555,0.035236599843133806,0.107627;0.013985;0.018105;0.060601;0.026087
nearest5_median_damage_log1p,7,distance,0.03917651529834874,0.04008953810950568,0.115211;0.017039;0.001425;0.041325;0.020883
nearest5_median_damage_log1p,6,distance,0.032768956299677646,0.04184966112006651,0.111686;0.017080;-0.013038;0.028112;0.020004
nearest5_median_damage_log1p,5,distance,0.020604212882779648,0.040495085539439944,0.097023;0.015800;-0.020761;0.014640;-0.003680
nearest5_median_damage_log1p,10,uniform,0.01563078000842848,0.03552856020291176,0.058731;0.014828;-0.025649;0.052193;-0.021950
nearest5_median_damage_log1p,9,uniform,0.010413997007621866,0.03457343157775096,0.061333;0.001137;-0.029947;0.038653;-0.019105
nearest5_median_damage_log1p,8,uniform,0.0069168983846165984,0.03334769710749165,0.058838;-0.026124;-0.022358;0.032873;-0.008644
nearest5_median_damage_log1p,7,uniform,0.0027924626702700906,0.036781785370326885,0.067751;-0.018834;-0.038317;0.015550;-0.012189
nearest5_median_damage_log1p,6,uniform,0.00014926950472795574,0.039257314247303186,0.066537;-0.011181;-0.054610;0.009255;-0.009254
nearest5_median_damage_log1p,5,uniform,-0.007014417992402544,0.038931534713943595,0.057372;-0.004459;-0.057890;0.003778;-0.033873
