radius_m,model,n_rows,n_train,n_test,fire_coverage_pct,best_degree,best_alpha,best_k,weights,cv_mae_log,cv_r2_log,test_mae_million_krw,test_rmse_million_krw,test_r2_raw,test_r2_log
44,log1p_ridge_poly,2533,2026,507,12.447174447174447,1.0,1000.0,,,1.8672867436581664,-6.164650971311285e-05,3.1627952822514387,19.812921693881265,-0.024329099842737456,0.003342791909038967
44,knn_log1p,2533,2026,507,12.447174447174447,,,30.0,uniform,1.89632181398974,-0.022143698676377443,3.164388506031622,19.805509898635698,-0.023562862777279037,-0.0010304118307205012
75,log1p_ridge_poly,5069,4055,1014,24.90909090909091,1.0,1000.0,,,1.8774516298882755,0.004324170410470655,74.2076642403349,2249.0528292225426,-0.0010871518514068423,0.0014066299331861876
75,knn_log1p,5069,4055,1014,24.90909090909091,,,30.0,uniform,1.9065779124541662,-0.026156744444804092,74.21450896137101,2249.050483114476,-0.0010850632767083201,-0.02766632302100991
100,log1p_ridge_poly,6975,5580,1395,34.27518427518427,1.0,1000.0,,,1.853894085250135,0.003742930197352612,54.206753798288204,1917.4430850082792,-0.0007969015840547655,0.00541746344189431
100,knn_log1p,6975,5580,1395,34.27518427518427,,,30.0,uniform,1.8814753746563826,-0.02738108287060396,54.2144742921495,1917.4431771421748,-0.0007969977614277202,-0.023438559517848123
150,log1p_ridge_poly,10207,8165,2042,50.157248157248155,1.0,1000.0,,,1.8626426728814565,0.005527398737266376,3.0919579999761786,22.900008243934927,-0.0171649072623139,0.005329041334124818
150,knn_log1p,10207,8165,2042,50.157248157248155,,,30.0,uniform,1.8909653783052012,-0.018234627331799997,3.09557187219674,22.89523753042486,-0.016741143493600452,-0.010543074199409697
200,log1p_ridge_poly,12482,9985,2497,61.336609336609335,1.0,1000.0,,,1.8629566146937497,0.00396620080236502,3.78988066641297,51.84183659761542,-0.005034506462531896,0.009063442444601222
200,knn_log1p,12482,9985,2497,61.336609336609335,,,30.0,uniform,1.8843022867390378,-0.018043733818979463,3.791684519850952,51.84105169387159,-0.005004073537049569,-0.0003035578834535979
300,log1p_ridge_poly,15529,12423,3106,76.30958230958231,1.0,10.0,,,1.8762991342592652,0.004402320902864816,3.281910533674942,32.59190918866737,-0.009530721352657867,0.0060100790197504805
300,knn_log1p,15529,12423,3106,76.30958230958231,,,30.0,uniform,1.8964060969486827,-0.015020745805516636,3.2901720670431707,32.58794368566142,-0.009285074278497119,-0.025408131699524494
