model,family,representation,train_accuracy,test_accuracy,accuracy_gap,balanced_accuracy,macro_f1,weighted_f1,notes
LightGBM,Boosting,sparse_onehot,0.9356155778894473,0.7419962335216572,0.19361934436779005,0.7418404227749086,0.7407779996467423,0.7408998230342337,best_iteration=777
XGBoost,Boosting,sparse_onehot,0.9375,0.7391713747645952,0.19832862523540484,0.7390075766131496,0.7379595794286469,0.7381012424506359,best_iteration=1497
CatBoost,Boosting,raw_categorical,0.8784547738693468,0.7297551789077212,0.14869959496162555,0.7296072203132851,0.7286493546615264,0.7287974989184316,best_iteration=2323
GNN,Graph,graph+svd_dense,0.753140703517588,0.7062146892655368,0.04692601425205123,0.7060373433335941,0.7045824154319833,0.7047395664616136,"k_neighbors=10, transductive_graph"
TabNet,Neural,svd_dense,0.7506281407035176,0.5922787193973634,0.15834942130615415,0.5921299793447067,0.5912366779295791,0.5913868742603776,best_epoch=111
NGBoost,Probabilistic,svd_dense,0.675251256281407,0.5828625235404896,0.09238873274091741,0.5826952764532437,0.5827265929199807,0.5828803366277648,multiclass_ngboost
GaussianProcess,Kernel,svd24_dense,0.5471105527638191,0.5301318267419962,0.016978726021822932,0.5297618062745535,0.5082507465887978,0.5085026802233948,"fit_rows=900, gp_dims=24"
IsolationForest,Anomaly,svd_dense,0.3442211055276382,0.3540489642184557,-0.009827858690817537,0.3540082081666442,0.3536852759807809,0.3537263201962243,"high_score_to_low_risk, thresholds=[0.38651, 0.4148]"
Autoencoder,Anomaly,svd_dense,0.3238065326633166,0.3267419962335217,-0.002935463570205077,0.3267250370873309,0.32662613029299875,0.3266512684200796,"high_score_to_low_risk, thresholds=[0.18498, 0.31552]"
