시군구명,방문생활인구수_00_03시,방문생활인구수_04_07시,방문생활인구수_08_11시,방문생활인구수_12_15시,방문생활인구수_16_19시,방문생활인구수_20_23시,총방문생활인구수
중구,85662.696,83630.8404,72738.1388,66899.8452,82613.43560000001,90330.1696,481875.1256
강남구,36830.359599999996,35901.437999999995,38186.7172,44334.37,44343.9132,40191.4864,239788.2844
종로구,26167.473199999997,25547.662399999997,26593.9844,27779.6248,24779.1628,24820.572799999998,155688.4804
마포구,24385.220400000002,21903.278,21646.7048,25715.022399999998,28905.016,32488.8312,155044.0728
서초구,8954.4384,8692.1684,10615.483999999999,13331.736799999999,13196.091999999999,10352.0,65141.919599999994
영등포구,9753.0044,9830.6456,9966.596800000001,10466.8664,10699.785600000001,9480.5872,60197.486000000004
용산구,8466.1756,7910.448,7307.3352,7760.7028,7396.146000000001,7877.1364,46717.944
성동구,927.9780000000001,865.4144,1575.7856,4954.5956,5133.8823999999995,2102.8316,15560.487599999999
송파구,1957.9492,1943.0872,2218.09,3273.1844,3380.9136,2620.8704000000002,15394.094799999999
강서구,837.812,827.7508,760.8216,638.6696,631.3956,743.2256,4439.6752
