업종,term,coef,p_value,significant_0_05,ols_r2,moran_I_residual,moran_p_sim,표본수
전체,const,0.05613273347312601,1.9914803777970667e-60,True,0.033270336880862894,0.5641297527148896,0.001,4246
전체,소방위험도_점수,-0.018905180585776584,2.26238910762668e-06,True,0.033270336880862894,0.5641297527148896,0.001,4246
전체,주변건물수,0.014879418785959102,2.83650914000643e-05,True,0.033270336880862894,0.5641297527148896,0.001,4246
전체,집중도,-0.019495067594660933,3.779452944072872e-10,True,0.033270336880862894,0.5641297527148896,0.001,4246
전체,단속위험도,0.017825969997222864,2.3225220351290095e-07,True,0.033270336880862894,0.5641297527148896,0.001,4246
전체,구조노후도,-0.01734731258332141,4.907916925032373e-07,True,0.033270336880862894,0.5641297527148896,0.001,4246
전체,도로폭위험도,-0.006291928084923118,0.08468035607299207,False,0.033270336880862894,0.5641297527148896,0.001,4246
관광숙박업,const,0.10450311251083749,8.577688972491708e-15,True,0.0712076002092723,0.2733520294205382,0.001,528
관광숙박업,소방위험도_점수,-0.03193360022216568,0.0288534172257113,True,0.0712076002092723,0.2733520294205382,0.001,528
관광숙박업,주변건물수,0.04561890497358146,0.03327879164447525,True,0.0712076002092723,0.2733520294205382,0.001,528
관광숙박업,집중도,-0.015231525423696985,0.14234080150888295,False,0.0712076002092723,0.2733520294205382,0.001,528
관광숙박업,단속위험도,0.04078835597442464,0.006068524871857315,True,0.0712076002092723,0.2733520294205382,0.001,528
관광숙박업,구조노후도,0.005227794008543218,0.7552738220287923,False,0.0712076002092723,0.2733520294205382,0.001,528
관광숙박업,도로폭위험도,0.014311729426971963,0.30194841073798706,False,0.0712076002092723,0.2733520294205382,0.001,528
숙박업,const,0.11803753653014637,6.104952773526988e-30,True,0.031021840860233407,0.5142687300872658,0.001,983
숙박업,소방위험도_점수,-0.023804805664864787,0.04318953589367984,True,0.031021840860233407,0.5142687300872658,0.001,983
숙박업,주변건물수,0.0255219756799614,0.0053603627897261434,True,0.031021840860233407,0.5142687300872658,0.001,983
숙박업,집중도,-0.0238776542818149,0.005558494749324188,True,0.031021840860233407,0.5142687300872658,0.001,983
숙박업,단속위험도,0.029940249545899196,0.0026665573849486805,True,0.031021840860233407,0.5142687300872658,0.001,983
숙박업,구조노후도,-0.026730494606189092,0.009570780776587951,True,0.031021840860233407,0.5142687300872658,0.001,983
숙박업,도로폭위험도,-0.005466404781355661,0.6347105053369342,False,0.031021840860233407,0.5142687300872658,0.001,983
외국인관광도시민박업,const,0.024545171668020723,4.687816578192512e-21,True,0.013837317368463165,0.2706973520266574,0.001,2735
외국인관광도시민박업,소방위험도_점수,-0.0010352654362609515,0.7422556619077025,False,0.013837317368463165,0.2706973520266574,0.001,2735
외국인관광도시민박업,주변건물수,0.0072910806878457675,0.007487244403260985,True,0.013837317368463165,0.2706973520266574,0.001,2735
외국인관광도시민박업,집중도,-0.010482515558394837,0.00015023686339387816,True,0.013837317368463165,0.2706973520266574,0.001,2735
외국인관광도시민박업,단속위험도,0.006371810440306134,0.007833721305230844,True,0.013837317368463165,0.2706973520266574,0.001,2735
외국인관광도시민박업,구조노후도,-0.005855771039923278,0.02533012011641011,True,0.013837317368463165,0.2706973520266574,0.001,2735
외국인관광도시민박업,도로폭위험도,-0.0065471760253668475,0.018811521776245677,True,0.013837317368463165,0.2706973520266574,0.001,2735
