metric,mean,std,min,max,source,status
위도,37.543938453600354,0.024272922578059183,37.46967317,37.60669991,data\gwr_results.csv,loaded
경도,126.97198446547284,0.06202641813420788,126.79955228,127.15430749,data\gwr_results.csv,loaded
local_R2,-2559072942.113768,46363516839.846565,-1353099097063.1348,0.913420991299106,data\gwr_results.csv,loaded
bandwidth,68.0,0.0,68.0,68.0,data\gwr_results.csv,loaded
coef_구조노후도,-0.006541059213593068,0.039970908178599746,-0.2076234147454402,0.2330258471428069,data\gwr_results.csv,loaded
tval_구조노후도,-0.22441880104474307,1.014176037190823,-6.102857522971591,3.7135744077258623,data\gwr_results.csv,loaded
coef_단속위험도,0.01038203281703441,0.06345715456375305,-0.3586283003252749,0.2586497667831446,data\gwr_results.csv,loaded
tval_단속위험도,0.2707185232695917,1.643446244547706,-8.862024530454352,8.21118864372159,data\gwr_results.csv,loaded
coef_도로폭위험도,0.0021877705619948607,0.05876064220258448,-0.1936343435868911,0.2891704751620126,data\gwr_results.csv,loaded
tval_도로폭위험도,0.08279572928476844,1.4327939241019092,-3.74580608337157,7.351065212537071,data\gwr_results.csv,loaded
coef_집중도,-0.01329597741637722,0.061778663329481134,-0.2792164988649769,0.395709869274587,data\gwr_results.csv,loaded
tval_집중도,-0.3196917167735937,1.3262381177209464,-5.763396334498583,9.179334796075915,data\gwr_results.csv,loaded
coef_주변건물수,0.022982659343408266,0.12641186439905885,-0.6245887961429026,0.4269204337030209,data\gwr_results.csv,loaded
tval_주변건물수,0.6712856658864376,1.9280615151182934,-5.022956397076781,8.929518600454694,data\gwr_results.csv,loaded
coef_소방위험도_점수,-0.031981394523821025,0.1478975770736992,-0.8993588633911508,0.6034498093146379,data\gwr_results.csv,loaded
tval_소방위험도_점수,-0.4200721807379399,2.1377637760518673,-10.851678893669336,9.428239206199386,data\gwr_results.csv,loaded
