발생시군구,화재건수,위도,경도,평균출동분,총재산피해백만원
강남구,3324,37.506432149999995,127.0425169,6.265904532691536,13413.318
송파구,2611,37.50287152,127.117175,6.02491382612026,6285.115
강서구,2261,37.5532257,126.8434877,6.201798614182515,4220.031
영등포구,2073,37.51730279,126.9038607,5.7238221579032,10250.746
마포구,2016,37.55430655,126.921735,5.578166335978836,6763.021
서초구,1855,37.4890412,127.0156069,6.830098831985625,4873.1359999999995
종로구,1668,37.574989,126.99077425,5.686350919264589,4672.126
성동구,1524,37.5515336,127.0439518,5.989162292213473,4906.877
용산구,1514,37.535128900000004,126.9763556,5.933366358432409,2314.74
중구,1504,37.56287035,127.00051404999999,4.955263741134751,84358.912
